oid,bonusPointsEarned,bonusPointsEarnedReason,totalPointsEarned,purchasedItemCount,item,barcode,brandCode,competitorRewardsGroup,description,discountedItemPrice,finalPrice,itemPrice,metabriteCampaignId,needsFetchReview,originalReceiptItemText,partnerItemId,pointsEarned,pointsNotAwardedReason,pointsPayerId,preventTargetGapPoints,quantityPurchased,rewardsGroup,rewardsProductPartnerId,userFlaggedBarcode,userFlaggedNewItem,userFlaggedPrice,userFlaggedQuantity,rewardsReceiptStatus,totalSpent,userId,createDate,dateScanned,finishedDate,modifyDate,pointsAwardedDate,purchaseDate
5ff1e1ed0a7214ada100056e,5,All-receipts receipt bonus,5,5,0,4011,NULL,NULL,ITEM NOT FOUND,NULL,20.00,20.00,NULL,false,NULL,1,NULL,NULL,NULL,true,5,NULL,NULL,4011,true,20.00,5,FINISHED,20,5ff1e1eacfcf6c399c274ae6,2021-01-03,2021-01-03,2021-01-03,2021-01-03,2021-01-03,2021-01-03
5ff1e1eb0a7214ada100056b,250,"Receipt number 3 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",250,3,0,4011,NULL,NULL,ITEM NOT FOUND,NULL,20.00,20.00,NULL,false,NULL,1,NULL,NULL,NULL,true,3,NULL,NULL,4011,true,20.00,3,FINISHED,20,5ff1e1eacfcf6c399c274ae6,2021-01-03,2021-01-03,2021-01-03,2021-01-03,2021-01-03,2021-01-03
5ff1e1c50a720f052300056c,100,"Receipt number 6 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",100,1,0,4011,NULL,NULL,ITEM NOT FOUND,NULL,1,1,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,FINISHED,1,5ff1e194b6a9d73a3a9f1052,2021-01-03,2021-01-03,2021-01-03,2021-01-03,2021-01-03,2021-01-02
5ff1e1a10a720f0523000568,750,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",750,5,0,013562300631,ANNIE'S,NULL,"Annie's Homegrown Organic White Cheddar Macaroni & Cheese Shells, 6 Oz",50.00,50.00,50.00,NULL,true,NULL,1,NULL,Action not allowed for user and CPG,5332f5f3e4b03c9a25efd0ae,NULL,5,ANNIE'S HOMEGROWN MULTI-SERVING MAC & CHEESE,5332f5f3e4b03c9a25efd0ae,NULL,NULL,NULL,NULL,FINISHED,50,5ff1e194b6a9d73a3a9f1052,2021-01-03,2021-01-03,2021-01-03,2021-01-03,2021-01-03,2021-01-02
5ff1e1b60a7214ada100055c,150,"Receipt number 5 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",8850,10,0,034100573065,NULL,NULL,MILLER LITE 24 PACK 12OZ CAN,NULL,29,29,NULL,NULL,NULL,1,870.0,NULL,5332f709e4b03c9a25efd0f1,NULL,1,MILLER LITE 24 PACK,5332f709e4b03c9a25efd0f1,NULL,NULL,NULL,NULL,FLAGGED,290,5ff1e194b6a9d73a3a9f1052,2021-01-03,2021-01-03,NULL,2021-01-03,NULL,2021-02-03
5ff1e1b60a7214ada100055c,150,"Receipt number 5 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",8850,10,1,034100573065,NULL,NULL,MILLER LITE 24 PACK 12OZ CAN,NULL,29,29,NULL,NULL,NULL,2,870.0,NULL,5332f709e4b03c9a25efd0f1,NULL,1,MILLER LITE 24 PACK,5332f709e4b03c9a25efd0f1,NULL,NULL,NULL,NULL,FLAGGED,290,5ff1e194b6a9d73a3a9f1052,2021-01-03,2021-01-03,NULL,2021-01-03,NULL,2021-02-03
5ff1e1b60a7214ada100055c,150,"Receipt number 5 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",8850,10,2,034100573065,NULL,NULL,MILLER LITE 24 PACK 12OZ CAN,NULL,29,29,NULL,NULL,NULL,3,870.0,NULL,5332f709e4b03c9a25efd0f1,NULL,1,MILLER LITE 24 PACK,5332f709e4b03c9a25efd0f1,NULL,NULL,NULL,NULL,FLAGGED,290,5ff1e194b6a9d73a3a9f1052,2021-01-03,2021-01-03,NULL,2021-01-03,NULL,2021-02-03
5ff1e1b60a7214ada100055c,150,"Receipt number 5 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",8850,10,3,034100573065,NULL,NULL,MILLER LITE 24 PACK 12OZ CAN,NULL,29,29,NULL,NULL,NULL,4,870.0,NULL,5332f709e4b03c9a25efd0f1,NULL,1,MILLER LITE 24 PACK,5332f709e4b03c9a25efd0f1,NULL,NULL,NULL,NULL,FLAGGED,290,5ff1e194b6a9d73a3a9f1052,2021-01-03,2021-01-03,NULL,2021-01-03,NULL,2021-02-03
5ff1e1b60a7214ada100055c,150,"Receipt number 5 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",8850,10,4,034100573065,NULL,NULL,MILLER LITE 24 PACK 12OZ CAN,NULL,29,29,NULL,NULL,NULL,5,870.0,NULL,5332f709e4b03c9a25efd0f1,NULL,1,MILLER LITE 24 PACK,5332f709e4b03c9a25efd0f1,NULL,NULL,NULL,NULL,FLAGGED,290,5ff1e194b6a9d73a3a9f1052,2021-01-03,2021-01-03,NULL,2021-01-03,NULL,2021-02-03
5ff1e1b60a7214ada100055c,150,"Receipt number 5 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",8850,10,5,034100573065,NULL,NULL,MILLER LITE 24 PACK 12OZ CAN,NULL,29,29,NULL,NULL,NULL,6,870.0,NULL,5332f709e4b03c9a25efd0f1,NULL,1,MILLER LITE 24 PACK,5332f709e4b03c9a25efd0f1,NULL,NULL,NULL,NULL,FLAGGED,290,5ff1e194b6a9d73a3a9f1052,2021-01-03,2021-01-03,NULL,2021-01-03,NULL,2021-02-03
5ff1e1b60a7214ada100055c,150,"Receipt number 5 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",8850,10,6,034100573065,NULL,NULL,MILLER LITE 24 PACK 12OZ CAN,NULL,29,29,NULL,NULL,NULL,7,870.0,NULL,5332f709e4b03c9a25efd0f1,NULL,1,MILLER LITE 24 PACK,5332f709e4b03c9a25efd0f1,NULL,NULL,NULL,NULL,FLAGGED,290,5ff1e194b6a9d73a3a9f1052,2021-01-03,2021-01-03,NULL,2021-01-03,NULL,2021-02-03
5ff1e1b60a7214ada100055c,150,"Receipt number 5 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",8850,10,7,034100573065,NULL,NULL,MILLER LITE 24 PACK 12OZ CAN,NULL,29,29,NULL,NULL,NULL,8,870.0,NULL,5332f709e4b03c9a25efd0f1,NULL,1,MILLER LITE 24 PACK,5332f709e4b03c9a25efd0f1,NULL,NULL,NULL,NULL,FLAGGED,290,5ff1e194b6a9d73a3a9f1052,2021-01-03,2021-01-03,NULL,2021-01-03,NULL,2021-02-03
5ff1e1b60a7214ada100055c,150,"Receipt number 5 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",8850,10,8,034100573065,NULL,NULL,MILLER LITE 24 PACK 12OZ CAN,NULL,29,29,NULL,NULL,NULL,9,870.0,NULL,5332f709e4b03c9a25efd0f1,NULL,1,MILLER LITE 24 PACK,5332f709e4b03c9a25efd0f1,NULL,NULL,NULL,NULL,FLAGGED,290,5ff1e194b6a9d73a3a9f1052,2021-01-03,2021-01-03,NULL,2021-01-03,NULL,2021-02-03
5ff1e1b60a7214ada100055c,150,"Receipt number 5 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",8850,10,9,034100573065,NULL,NULL,MILLER LITE 24 PACK 12OZ CAN,NULL,29,29,NULL,NULL,NULL,10,870.0,NULL,5332f709e4b03c9a25efd0f1,NULL,1,MILLER LITE 24 PACK,5332f709e4b03c9a25efd0f1,NULL,NULL,NULL,NULL,FLAGGED,290,5ff1e194b6a9d73a3a9f1052,2021-01-03,2021-01-03,NULL,2021-01-03,NULL,2021-02-03
5f9c74f70a7214ad07000037,750,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",750,11,0,075925306254,NULL,NULL,NULL,NULL,1,1,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,1,KRAFT NATURAL CHEESE - SHREDDED,559c2234e4b06aca36af13c6,NULL,NULL,NULL,NULL,REJECTED,1,5f9c74f7c88c1415cbddb839,2020-10-30,2020-10-30,NULL,2021-01-03,2020-10-30,2020-10-29
5f9c74f70a7214ad07000037,750,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",750,11,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,true,NULL,2,NULL,NULL,NULL,true,NULL,NULL,NULL,034100573065,true,29.00,1,REJECTED,1,5f9c74f7c88c1415cbddb839,2020-10-30,2020-10-30,NULL,2021-01-03,2020-10-30,2020-10-29
5f9c74f70a7214ad07000037,750,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",750,11,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,true,NULL,3,NULL,NULL,NULL,true,NULL,NULL,NULL,034100573065,true,29.00,1,REJECTED,1,5f9c74f7c88c1415cbddb839,2020-10-30,2020-10-30,NULL,2021-01-03,2020-10-30,2020-10-29
5f9c74f70a7214ad07000037,750,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",750,11,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,true,NULL,4,NULL,NULL,NULL,true,NULL,NULL,NULL,034100573065,true,29.00,1,REJECTED,1,5f9c74f7c88c1415cbddb839,2020-10-30,2020-10-30,NULL,2021-01-03,2020-10-30,2020-10-29
5f9c74f70a7214ad07000037,750,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",750,11,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,true,NULL,5,NULL,NULL,NULL,true,NULL,NULL,NULL,034100573065,true,29.00,1,REJECTED,1,5f9c74f7c88c1415cbddb839,2020-10-30,2020-10-30,NULL,2021-01-03,2020-10-30,2020-10-29
5f9c74f70a7214ad07000037,750,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",750,11,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,true,NULL,6,NULL,NULL,NULL,true,NULL,NULL,NULL,034100573065,true,29.00,1,REJECTED,1,5f9c74f7c88c1415cbddb839,2020-10-30,2020-10-30,NULL,2021-01-03,2020-10-30,2020-10-29
5f9c74f70a7214ad07000037,750,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",750,11,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,true,NULL,7,NULL,NULL,NULL,true,NULL,NULL,NULL,034100573065,true,29.00,1,REJECTED,1,5f9c74f7c88c1415cbddb839,2020-10-30,2020-10-30,NULL,2021-01-03,2020-10-30,2020-10-29
5f9c74f70a7214ad07000037,750,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",750,11,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,true,NULL,8,NULL,NULL,NULL,true,NULL,NULL,NULL,034100573065,true,29.00,1,REJECTED,1,5f9c74f7c88c1415cbddb839,2020-10-30,2020-10-30,NULL,2021-01-03,2020-10-30,2020-10-29
5f9c74f70a7214ad07000037,750,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",750,11,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,true,NULL,9,NULL,NULL,NULL,true,NULL,NULL,NULL,034100573065,true,29.00,1,REJECTED,1,5f9c74f7c88c1415cbddb839,2020-10-30,2020-10-30,NULL,2021-01-03,2020-10-30,2020-10-29
5f9c74f70a7214ad07000037,750,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",750,11,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,true,NULL,10,NULL,NULL,NULL,true,NULL,NULL,NULL,034100573065,true,29.00,1,REJECTED,1,5f9c74f7c88c1415cbddb839,2020-10-30,2020-10-30,NULL,2021-01-03,2020-10-30,2020-10-29
5f9c74f70a7214ad07000037,750,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",750,11,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,true,NULL,11,NULL,NULL,NULL,true,NULL,NULL,NULL,034100573065,true,29.00,1,REJECTED,1,5f9c74f7c88c1415cbddb839,2020-10-30,2020-10-30,NULL,2021-01-03,2020-10-30,2020-10-29
5ff1e1b20a7214ada100055a,300,"Receipt number 4 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",300,1,0,4011,NULL,NULL,ITEM NOT FOUND,NULL,1,1,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,FINISHED,1,5ff1e194b6a9d73a3a9f1052,2021-01-03,2021-01-03,2021-01-03,2021-01-03,2021-01-03,2021-02-03
5ff1e1e90a7214ada1000569,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,true,NULL,1,NULL,NULL,NULL,true,NULL,NULL,NULL,4011,true,25.00,3,FLAGGED,0,5ff1e1e9b6a9d73a3a9f10f6,2021-01-03,2021-01-03,NULL,2021-01-03,NULL,NULL
5ff1e1e90a7214ada1000569,NULL,NULL,NULL,0,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,true,NULL,2,NULL,NULL,NULL,true,NULL,NULL,NULL,034100573065,true,27.00,3,FLAGGED,0,5ff1e1e9b6a9d73a3a9f10f6,2021-01-03,2021-01-03,NULL,2021-01-03,NULL,NULL
5ff1e1df0a7214ada1000564,750,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",750,2,0,4011,NULL,NULL,ITEM NOT FOUND,NULL,1,1,NULL,false,NULL,1,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,FINISHED,11,5ff1e1dfcfcf6c399c274ab3,2021-01-03,2021-01-03,2021-01-03,2021-01-03,2021-01-03,2021-01-02
5ff1e1df0a7214ada1000564,750,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",750,2,1,028400642255,DORITOS,NULL,DORITOS TORTILLA CHIP SPICY SWEET CHILI REDUCED FAT BAG 1 OZ,NULL,10.00,10.00,NULL,false,NULL,2,NULL,Action not allowed for user and CPG,5332f5fbe4b03c9a25efd0ba,true,1,DORITOS SPICY SWEET CHILI SINGLE SERVE,5332f5fbe4b03c9a25efd0ba,028400642255,true,10.00,1,FINISHED,11,5ff1e1dfcfcf6c399c274ab3,2021-01-03,2021-01-03,2021-01-03,2021-01-03,2021-01-03,2021-01-02
5ff1e1b40a7214ada100055b,750,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",750,1,0,075925306254,SARGENTO,NULL,NULL,NULL,1,1,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,1,SARGENTO NATURAL SHREDDED CHEESE 6OZ OR LARGER,5e7cf838f221c312e698a628,NULL,NULL,NULL,NULL,FLAGGED,1,5ff1e1b4cfcf6c399c274a54,2021-01-03,2021-01-03,NULL,2021-01-03,2021-01-03,2021-01-02
5ff1e1b40a7214ada100055b,750,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",750,1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,true,NULL,2,NULL,NULL,NULL,true,NULL,NULL,NULL,034100573065,true,29.00,1,FLAGGED,1,5ff1e1b4cfcf6c399c274a54,2021-01-03,2021-01-03,NULL,2021-01-03,2021-01-03,2021-01-02
5ff1e1b40a7214ada100055b,750,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",750,1,2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,true,NULL,3,NULL,NULL,NULL,true,NULL,NULL,NULL,034100573065,true,29.00,1,FLAGGED,1,5ff1e1b4cfcf6c399c274a54,2021-01-03,2021-01-03,NULL,2021-01-03,2021-01-03,2021-01-02
5ff1e1b40a7214ada100055b,750,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",750,1,3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,true,NULL,4,NULL,NULL,NULL,true,NULL,NULL,NULL,034100573065,true,29.00,1,FLAGGED,1,5ff1e1b4cfcf6c399c274a54,2021-01-03,2021-01-03,NULL,2021-01-03,2021-01-03,2021-01-02
5ff8da7d0a720f05c500001c,NULL,NULL,NULL,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,true,NULL,1,NULL,NULL,NULL,true,NULL,NULL,NULL,4011,true,28.00,4,FLAGGED,0,5ff8da7db3348b11c9337b6a,2021-01-08,2021-01-08,NULL,2021-01-08,NULL,NULL
5ff1e1b40a7214ada100055b,750,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",750,1,4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,true,NULL,5,NULL,NULL,NULL,true,NULL,NULL,NULL,034100573065,true,29.00,1,FLAGGED,1,5ff1e1b4cfcf6c399c274a54,2021-01-03,2021-01-03,NULL,2021-01-03,2021-01-03,2021-01-02
5ff1e1b40a7214ada100055b,750,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",750,1,5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,true,NULL,6,NULL,NULL,NULL,true,NULL,NULL,NULL,034100573065,true,29.00,1,FLAGGED,1,5ff1e1b4cfcf6c399c274a54,2021-01-03,2021-01-03,NULL,2021-01-03,2021-01-03,2021-01-02
5ff1e1b40a7214ada100055b,750,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",750,1,6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,true,NULL,7,NULL,NULL,NULL,true,NULL,NULL,NULL,034100573065,true,29.00,1,FLAGGED,1,5ff1e1b4cfcf6c399c274a54,2021-01-03,2021-01-03,NULL,2021-01-03,2021-01-03,2021-01-02
5ff1e1b40a7214ada100055b,750,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",750,1,7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,true,NULL,8,NULL,NULL,NULL,true,NULL,NULL,NULL,034100573065,true,29.00,1,FLAGGED,1,5ff1e1b4cfcf6c399c274a54,2021-01-03,2021-01-03,NULL,2021-01-03,2021-01-03,2021-01-02
5ff1e1b40a7214ada100055b,750,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",750,1,8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,true,NULL,9,NULL,NULL,NULL,true,NULL,NULL,NULL,034100573065,true,29.00,1,FLAGGED,1,5ff1e1b4cfcf6c399c274a54,2021-01-03,2021-01-03,NULL,2021-01-03,2021-01-03,2021-01-02
5ff1e1b40a7214ada100055b,750,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",750,1,9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,true,NULL,10,NULL,NULL,NULL,true,NULL,NULL,NULL,034100573065,true,29.00,1,FLAGGED,1,5ff1e1b4cfcf6c399c274a54,2021-01-03,2021-01-03,NULL,2021-01-03,2021-01-03,2021-01-02
5ff1e1b40a7214ada100055b,750,"Receipt number 1 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",750,1,10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,true,NULL,11,NULL,NULL,NULL,true,NULL,NULL,NULL,034100573065,true,29.00,1,FLAGGED,1,5ff1e1b4cfcf6c399c274a54,2021-01-03,2021-01-03,NULL,2021-01-03,2021-01-03,2021-01-02
5ff1e1eb0a720f0523000576,300,"Receipt number 4 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",300,2,0,4011,NULL,NULL,ITEM NOT FOUND,NULL,26.00,26.00,NULL,false,NULL,1,NULL,NULL,NULL,true,2,NULL,NULL,4011,true,26.00,2,FINISHED,26,5ff1e1eacfcf6c399c274ae6,2021-01-03,2021-01-03,2021-01-03,2021-01-03,2021-01-03,2021-01-03
5ff1e1c80a720f052300056d,5,All-receipts receipt bonus,5,2,0,4011,NULL,NULL,ITEM NOT FOUND,NULL,1,1,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,1,NULL,NULL,NULL,NULL,NULL,NULL,FINISHED,1,5ff1e194b6a9d73a3a9f1052,2021-01-03,2021-01-03,2021-01-03,2021-01-03,2021-01-03,2021-01-02
5ff1e1c80a720f052300056d,5,All-receipts receipt bonus,5,2,1,1234,NULL,NULL,NULL,NULL,NULL,NULL,NULL,true,NULL,2,NULL,NULL,NULL,true,NULL,NULL,NULL,1234,true,NULL,NULL,FINISHED,1,5ff1e194b6a9d73a3a9f1052,2021-01-03,2021-01-03,2021-01-03,2021-01-03,2021-01-03,2021-01-02
5f9c74f90a7214ad07000038,300,"Receipt number 4 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",389.2,6,0,075925306254,SARGENTO,NULL,NULL,NULL,1,1,NULL,false,NULL,1,NULL,NULL,NULL,NULL,1,SARGENTO NATURAL SHREDDED CHEESE 6OZ OR LARGER,5e7cf838f221c312e698a628,NULL,NULL,NULL,NULL,FINISHED,14,5f9c74e3f1937815bd2c1d73,2020-10-30,2020-10-30,2021-01-03,2021-01-03,2021-01-03,2020-10-29
5f9c74f90a7214ad07000038,300,"Receipt number 4 completed, bonus point schedule DEFAULT (5cefdcacf3693e0b50e83a36)",389.2,6,1,075925306254,SARGENTO,NULL,NULL,NULL,10.00,10.00,NULL,false,NULL,2,NULL,NULL,NULL,true,2,SARGENTO NATURAL SHREDDED CHEESE 6OZ OR LARGER,5e7cf838f221c312e698a628,075925306254,true,10.00,2,FINISHED,14,5f9c74e3f1937815bd2c1d73,2020-10-30,2020-10-30,2021-01-03,2021-01-03,2021-01-03,2020-10-29
